timestamp,message
1767186228590,"INIT_START Runtime Version: python:3.11.v109	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:49f733259c7ce7e0deee75ff91c6afe35c7d58b04ed300f32701216263b4590c
"
1767186229663,"[INFO]	2025-12-31T13:03:49.663Z		Found credentials in environment variables.
"
1767186229909,"START RequestId: 8e2f4c3c-58d8-4174-832a-d828780a0a01 Version: $LATEST
"
1767186229909,"[INFO]	2025-12-31T13:03:49.909Z	8e2f4c3c-58d8-4174-832a-d828780a0a01	Starting LLM refinement for job 92e0617d-6db2-4633-abf5-c4e181de8c15
"
1767186229994,"[INFO]	2025-12-31T13:03:49.994Z	8e2f4c3c-58d8-4174-832a-d828780a0a01	Updated job 92e0617d-6db2-4633-abf5-c4e181de8c15: LLM Refinement: Initializing
"
1767186229996,"[ERROR]	2025-12-31T13:03:49.994Z	8e2f4c3c-58d8-4174-832a-d828780a0a01	Unhandled error: Client.__init__() got an unexpected keyword argument 'proxies'
Traceback (most recent call last):
  File ""/var/task/lambda_llm_refine.py"", line 100, in lambda_handler
    analyzer = LLMAnalyzer(api_key=OPENAI_API_KEY, model=OPENAI_MODEL)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/src/core/llm_analyzer.py"", line 75, in __init__
    self.client = OpenAI(api_key=api_key)
                  ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/opt/python/lib/python3.11/site-packages/openai/_client.py"", line 107, in __init__
    super().__init__(
  File ""/opt/python/lib/python3.11/site-packages/openai/_base_client.py"", line 738, in __init__
    self._client = http_client or httpx.Client(
                                  ^^^^^^^^^^^^^
TypeError: Client.__init__() got an unexpected keyword argument 'proxies'"
1767186230007,"[ERROR]	2025-12-31T13:03:50.006Z	8e2f4c3c-58d8-4174-832a-d828780a0a01	Failed to mark job failed: An error occurred (ValidationException) when calling the UpdateItem operation: Invalid UpdateExpression: Attribute name is a reserved keyword; reserved keyword: error
"
1767186230012,"[ERROR] TypeError: Client.__init__() got an unexpected keyword argument 'proxies'
Traceback (most recent call last):
  File ""/var/task/lambda_llm_refine.py"", line 100, in lambda_handler
    analyzer = LLMAnalyzer(api_key=OPENAI_API_KEY, model=OPENAI_MODEL)
  File ""/var/task/src/core/llm_analyzer.py"", line 75, in __init__
    self.client = OpenAI(api_key=api_key)
  File ""/opt/python/lib/python3.11/site-packages/openai/_client.py"", line 107, in __init__
    super().__init__(
  File ""/opt/python/lib/python3.11/site-packages/openai/_base_client.py"", line 738, in __init__
    self._client = http_client or httpx.Client("
1767186230015,"END RequestId: 8e2f4c3c-58d8-4174-832a-d828780a0a01
"
1767186230015,"REPORT RequestId: 8e2f4c3c-58d8-4174-832a-d828780a0a01	Duration: 105.49 ms	Billed Duration: 1421 ms	Memory Size: 512 MB	Max Memory Used: 111 MB	Init Duration: 1314.73 ms	
"
1767186235212,"START RequestId: 3991bde2-0969-4227-a9bb-96e33cf53e6b Version: $LATEST
"
1767186235212,"[INFO]	2025-12-31T13:03:55.212Z	3991bde2-0969-4227-a9bb-96e33cf53e6b	Starting LLM refinement for job 92e0617d-6db2-4633-abf5-c4e181de8c15
"
1767186235219,"[INFO]	2025-12-31T13:03:55.219Z	3991bde2-0969-4227-a9bb-96e33cf53e6b	Updated job 92e0617d-6db2-4633-abf5-c4e181de8c15: LLM Refinement: Initializing
"
1767186235220,"[ERROR]	2025-12-31T13:03:55.219Z	3991bde2-0969-4227-a9bb-96e33cf53e6b	Unhandled error: Client.__init__() got an unexpected keyword argument 'proxies'
Traceback (most recent call last):
  File ""/var/task/lambda_llm_refine.py"", line 100, in lambda_handler
    analyzer = LLMAnalyzer(api_key=OPENAI_API_KEY, model=OPENAI_MODEL)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/src/core/llm_analyzer.py"", line 75, in __init__
    self.client = OpenAI(api_key=api_key)
                  ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/opt/python/lib/python3.11/site-packages/openai/_client.py"", line 107, in __init__
    super().__init__(
  File ""/opt/python/lib/python3.11/site-packages/openai/_base_client.py"", line 738, in __init__
    self._client = http_client or httpx.Client(
                                  ^^^^^^^^^^^^^
TypeError: Client.__init__() got an unexpected keyword argument 'proxies'"
1767186235235,"[ERROR]	2025-12-31T13:03:55.235Z	3991bde2-0969-4227-a9bb-96e33cf53e6b	Failed to mark job failed: An error occurred (ValidationException) when calling the UpdateItem operation: Invalid UpdateExpression: Attribute name is a reserved keyword; reserved keyword: error
"
1767186235235,"[ERROR] TypeError: Client.__init__() got an unexpected keyword argument 'proxies'
Traceback (most recent call last):
  File ""/var/task/lambda_llm_refine.py"", line 100, in lambda_handler
    analyzer = LLMAnalyzer(api_key=OPENAI_API_KEY, model=OPENAI_MODEL)
  File ""/var/task/src/core/llm_analyzer.py"", line 75, in __init__
    self.client = OpenAI(api_key=api_key)
  File ""/opt/python/lib/python3.11/site-packages/openai/_client.py"", line 107, in __init__
    super().__init__(
  File ""/opt/python/lib/python3.11/site-packages/openai/_base_client.py"", line 738, in __init__
    self._client = http_client or httpx.Client("
1767186235238,"END RequestId: 3991bde2-0969-4227-a9bb-96e33cf53e6b
"
1767186235238,"REPORT RequestId: 3991bde2-0969-4227-a9bb-96e33cf53e6b	Duration: 25.33 ms	Billed Duration: 26 ms	Memory Size: 512 MB	Max Memory Used: 111 MB	
"
1767186242434,"START RequestId: 41954d3a-be10-48d4-a66c-2ccc775eba85 Version: $LATEST
"
1767186242435,"[INFO]	2025-12-31T13:04:02.435Z	41954d3a-be10-48d4-a66c-2ccc775eba85	Starting LLM refinement for job 92e0617d-6db2-4633-abf5-c4e181de8c15
"
1767186242441,"[INFO]	2025-12-31T13:04:02.441Z	41954d3a-be10-48d4-a66c-2ccc775eba85	Updated job 92e0617d-6db2-4633-abf5-c4e181de8c15: LLM Refinement: Initializing
"
1767186242442,"[ERROR]	2025-12-31T13:04:02.442Z	41954d3a-be10-48d4-a66c-2ccc775eba85	Unhandled error: Client.__init__() got an unexpected keyword argument 'proxies'
Traceback (most recent call last):
  File ""/var/task/lambda_llm_refine.py"", line 100, in lambda_handler
    analyzer = LLMAnalyzer(api_key=OPENAI_API_KEY, model=OPENAI_MODEL)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/src/core/llm_analyzer.py"", line 75, in __init__
    self.client = OpenAI(api_key=api_key)
                  ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/opt/python/lib/python3.11/site-packages/openai/_client.py"", line 107, in __init__
    super().__init__(
  File ""/opt/python/lib/python3.11/site-packages/openai/_base_client.py"", line 738, in __init__
    self._client = http_client or httpx.Client(
                                  ^^^^^^^^^^^^^
TypeError: Client.__init__() got an unexpected keyword argument 'proxies'"
1767186242449,"[ERROR]	2025-12-31T13:04:02.449Z	41954d3a-be10-48d4-a66c-2ccc775eba85	Failed to mark job failed: An error occurred (ValidationException) when calling the UpdateItem operation: Invalid UpdateExpression: Attribute name is a reserved keyword; reserved keyword: error
"
1767186242450,"[ERROR] TypeError: Client.__init__() got an unexpected keyword argument 'proxies'
Traceback (most recent call last):
  File ""/var/task/lambda_llm_refine.py"", line 100, in lambda_handler
    analyzer = LLMAnalyzer(api_key=OPENAI_API_KEY, model=OPENAI_MODEL)
  File ""/var/task/src/core/llm_analyzer.py"", line 75, in __init__
    self.client = OpenAI(api_key=api_key)
  File ""/opt/python/lib/python3.11/site-packages/openai/_client.py"", line 107, in __init__
    super().__init__(
  File ""/opt/python/lib/python3.11/site-packages/openai/_base_client.py"", line 738, in __init__
    self._client = http_client or httpx.Client("
1767186242453,"END RequestId: 41954d3a-be10-48d4-a66c-2ccc775eba85
"
1767186242453,"REPORT RequestId: 41954d3a-be10-48d4-a66c-2ccc775eba85	Duration: 17.88 ms	Billed Duration: 18 ms	Memory Size: 512 MB	Max Memory Used: 111 MB	
"
